S66,touch 3222,2024-10-06 22:34:22.807511
S66,rm 3222,2024-10-06 22:34:28.034129
S66,ls,2024-10-06 22:34:30.197773
S66,cd to asd/,2024-10-06 22:34:33.126908
S66,touch 6666,2024-10-06 22:34:37.095179
S66,ls,2024-10-06 22:34:39.664142
S66,pwd,2024-10-06 22:34:50.817484
S66,ls,2024-10-06 22:34:54.197816
S66,ls,2024-10-06 22:35:33.083723
S66,cd to qwe/,2024-10-06 22:35:35.554724
S66,pwd,2024-10-06 22:35:38.332701
S66,ls,2024-10-06 22:35:40.507080
S66,cd to zxc/,2024-10-06 22:35:45.295178
S66,ls,2024-10-06 22:35:47.260265
S66,touch 777,2024-10-06 22:35:55.950863
S66,ls,2024-10-06 22:35:58.468703
S66,rm 777,2024-10-06 22:36:07.774844
S66,rm 6666,2024-10-06 22:36:14.605012
